,,,,instant,0,1,2,3,(0-2),(1-3),(1-2),(2-3)
,,,,303,0.580,0.290,0.050,0.121,0.597,0.000,0.260,0.060
,,,,304,0.550,0.320,0.050,0.103,0.527,0.000,0.290,0.053
,,,,305,0.550,0.230,0.055,0.119,0.580,0.000,0.257,0.058
,,,,306,0.540,0.220,0.050,0.102,0.527,0.000,0.240,0.053
,,,,307,0.650,0.160,0.054,0.098,0.567,0.000,0.237,0.057
,,,,308,0.570,0.220,0.049,0.124,0.623,0.000,0.233,0.062
,,,,309,0.690,0.270,0.061,0.104,0.557,0.000,0.290,0.056
,,,,310,0.540,0.240,0.049,0.101,0.507,0.000,0.233,0.051
,,,,311,0.580,0.170,0.042,0.099,0.503,0.000,0.197,0.050
,,,,312,0.530,0.210,0.050,0.086,0.510,0.000,0.223,0.051
,,,,313,0.550,0.270,0.042,0.100,0.517,0.000,0.230,0.052
,,,,314,0.660,0.310,0.036,0.110,0.543,0.000,0.220,0.054
,,,,315,0.550,0.360,0.036,0.100,0.513,0.000,0.237,0.051
,,,,316,0.510,0.370,0.048,0.083,0.443,0.000,0.253,0.044
,,,,317,0.500,0.250,0.039,0.079,0.430,0.000,0.213,0.043
,,,,318,0.530,0.230,0.049,0.093,0.490,0.000,0.227,0.049
,,,,319,0.470,0.300,0.064,0.093,0.473,0.000,0.300,0.047
,,,,320,0.460,0.260,0.057,0.086,0.437,0.000,0.283,0.044
,,,,321,0.480,0.230,0.048,0.086,0.430,0.000,0.237,0.043
,,,,322,0.450,0.230,0.048,0.093,0.457,0.000,0.237,0.046
,,,,323,0.350,0.200,0.047,0.112,0.527,0.000,0.223,0.053
,,,,324,0.340,0.200,0.041,0.101,0.427,0.000,0.200,0.043
,,,,325,0.530,0.210,0.045,0.112,0.540,0.000,0.220,0.054
,,,,326,0.470,0.220,0.036,0.119,0.567,0.000,0.187,0.057
,,,,327,0.480,0.150,0.026,0.085,0.443,0.000,0.137,0.044
,,,,328,0.460,0.210,0.026,0.104,0.480,0.000,0.150,0.048
,,,,329,0.510,0.170,0.030,0.129,0.580,0.000,0.133,0.058
,,,,330,0.310,0.130,0.025,0.100,0.440,0.000,0.127,0.044
,,,,331,0.370,0.100,0.030,0.105,0.473,0.000,0.127,0.047
,,,,332,0.370,0.150,0.035,0.106,0.450,0.000,0.163,0.045
,,,,333,0.360,0.190,0.040,0.097,0.407,0.000,0.197,0.041
,,,,334,0.320,0.180,0.042,0.070,0.357,0.000,0.193,0.036
,,,,335,0.300,0.150,0.044,0.062,0.307,0.000,0.197,0.031
,,,,336,0.320,0.130,0.037,0.073,0.363,0.000,0.160,0.036
,,,,337,0.310,0.080,0.030,0.054,0.277,0.000,0.127,0.028
,,,,338,0.290,0.080,0.024,0.066,0.327,0.000,0.107,0.033
,,,,339,0.260,0.090,0.024,0.057,0.280,0.000,0.110,0.028
,,,,340,0.180,0.100,0.027,0.050,0.233,0.000,0.123,0.023
,,,,341,0.260,0.060,0.020,0.059,0.277,0.000,0.090,0.028
,,,,342,0.260,0.100,0.026,0.062,0.297,0.000,0.137,0.030
,,,,343,0.270,0.080,0.033,0.059,0.290,0.000,0.133,0.029
,,,,344,0.240,0.080,0.028,0.048,0.237,0.000,0.123,0.024
,,,,345,0.170,0.070,0.027,0.045,0.200,0.000,0.120,0.020
,,,,346,0.110,0.100,0.027,0.039,0.167,0.000,0.120,0.017
,,,,347,0.120,0.120,0.025,0.032,0.147,0.000,0.117,0.015
,,,,348,0.120,0.100,0.024,0.033,0.150,0.000,0.107,0.015
,,,,349,0.100,0.060,0.022,0.032,0.137,0.000,0.097,0.014
,,,,350,0.130,0.070,0.015,0.033,0.147,0.000,0.063,0.015
,,,,351,0.100,0.060,0.020,0.039,0.160,0.000,0.063,0.016
,,,,352,0.090,0.040,0.009,0.038,0.157,0.000,0.040,0.016
,,,,353,0.120,0.070,0.013,0.031,0.140,0.000,0.063,0.014
,,,,354,0.140,0.100,0.015,0.020,0.103,0.000,0.080,0.010
,,,,355,0.100,0.070,0.012,0.019,0.107,0.000,0.063,0.011
,,,,356,0.110,0.080,0.006,0.022,0.127,0.000,0.047,0.013
,,,,357,0.030,0.060,0.005,0.016,0.060,0.000,0.027,0.006
,,,,358,0.030,0.060,0.006,0.013,0.053,0.000,0.030,0.005
,,,,359,0.020,0.040,0.003,0.014,0.053,0.000,0.023,0.005
,,,,360,0.020,0.040,0.003,0.015,0.060,0.000,0.023,0.006
,,,,361,0.010,0.050,0.002,0.007,0.027,0.000,0.023,0.003
,,,,362,0.020,0.060,0.002,0.003,0.017,0.000,0.027,0.002
